"-3.701559273765097*^-19 + 0.*I"
"3.740959844803059*^-19 + 0.*I"
"-5.256111421092391*^-19 + 0.*I"
"-0.0009565393066174252 + 0.0005481068149043486*I"
"0. + 0.*I"
"9.463912226365115*^-6 + 0.000018549303431314158*I"
"0. + 0.*I"
"-0.0010550376786767196 + 0.00027502348642099116*I"
"-0.0000520577975328487 - 0.00006977410936027547*I"
"0. + 0.*I"
"0.0018924153666533136 - 0.0006248183519176109*I"
"0.000011715935180532702 + 0.00002146793083490921*I"
"0. + 0.*I"
"0. + 0.*I"
"0. + 0.*I"
"-8.500628062944798*^-6 - 8.11186440622824*^-6*I"
"-0.0006904506316489338 - 0.00014557557933854567*I"
"-0.00003570952273274215 - 3.5385365298141265*^-6*I"
"0.00012510264949083097 + 0.00003296644562128672*I"
"0. + 0.*I"
"1.6256201376853545*^-6 - 2.8359561352939952*^-6*I"
"0.001233193764237547 - 0.00042436802228798515*I"
"0.00005500233690859942 + 0.00006664947661285776*I"
"1.0931043490084461*^-21 + 0.*I"
"0.0020611049017641536 - 0.0005207949732463018*I"
"-6.894535754005984*^-19 + 0.*I"
"0.0006594120142164755 - 0.00044074678498318446*I"
"0. + 0.*I"
"9.463912226365115*^-6 + 0.000018549303431314158*I"
"0. + 0.*I"
"0.000015209841915133156 + 0.00003323180595750994*I"
"-0.00024003979729784607 + 0.0001204022084741975*I"
"-0.0013334399217424181 + 0.0009836589568030945*I"
"-2.5561319801201045*^-6 - 0.00015671757571674322*I"
"0. + 0.*I"
"-3.766446987131898*^-19 + 0.*I"
"0.00036194373291060535 + 0.00003588932136467991*I"
"-0.00006204218945610361 + 0.000011572514537161407*I"
"-0.00006816615493864767 + 0.00007281258009753715*I"
"0. + 0.*I"
"-3.701559273765097*^-19 + 0.*I"
"-2.5660708259818996*^-21 + 0.*I"
"0. + 0.*I"
"4.1633362925347657*^-19 + 0.*I"
"0. + 0.*I"
"-0.000053579410371493375 + 0.000011488399559499413*I"
"0. + 0.*I"
"0. + 0.*I"
"-0.0005653502240177968 + 0.0002210687146702378*I"
