"{0.355446794960959, 0.46188802035131554}","{0.4242115410653451, 0.4906833629454402}"
"{0.17962992373041523, 0.3551075441601881}","{0.1627458939942752, 0.42772094417091927}"
"{0.17962992373041523, 0.3551075441601881}","{0.2539402343213364, 0.36108456960274504}"
"{0.4906103680730055, 0.08101710218718522}","{0.41843370153098497, 0.09968398003943327}"
"{0.20195082454191066, -0.24663734932248935}","{0.23663653867373705, -0.3126265363216156}"
"{0.2961256919615032, 0.5070425230772538}","{0.355446794960959, 0.46188802035131554}"
"{-0.33502409722660514, -0.15628054902511818}","{-0.2945250659699057, -0.218869110604399}"
"{-0.1113799508957249, 0.20253172194695002}","{-0.14907597694512303, 0.2668487802389056}"
"{0.4336564124059279, 0.5646328143687704}","{0.4242115410653451, 0.4906833629454402}"
"{-0.04370659014221451, -0.3874058923371285}","{-0.0309345687495416, -0.46085099790534845}"
"{-0.04370659014221451, -0.3874058923371285}","{0.02976272354612149, -0.4000578119961974}"
"{0.14408468542555397, 0.2296195458779525}","{0.07199837787306161, 0.2486241091484556}"
"{-0.18831796862272288, -0.378010143471796}","{-0.25257265895935904, -0.4158158274846794}"
"{-0.11042118804651938, -0.03551852537799334}","{-0.10478448928679114, 0.03881701183878193}"
"{-0.03891994898761475, 0.46502928766784757}","{-0.0309345687495416, 0.5391490020946516}"
"{-0.13243793785298982, 0.1080465373388502}","{-0.10478448928679114, 0.03881701183878193}"
"{-0.26057114438416973, -0.1525012710353218}","{-0.2945250659699057, -0.218869110604399}"
"{-0.26057114438416973, -0.1525012710353218}","{-0.33502409722660514, -0.15628054902511818}"
"{-0.26057114438416973, -0.1525012710353218}","{-0.20560861005347064, -0.10213927949632726}"
"{-0.1071001736248112, 0.43487782955128235}","{-0.03891994898761475, 0.46502928766784757}"
"{-0.05883025476179668, -0.08933367105377785}","{-0.11042118804651938, -0.03551852537799334}"
"{0.3743370601618512, -0.39021474768470915}","{0.4336564124059279, -0.4353671856312296}"
"{0.339120508527519, -0.10583556840807297}","{0.27368511270755763, -0.14154723499492725}"
"{0.12816244008480104, -0.25725914922896786}","{0.20195082454191066, -0.24663734932248935}"
"{0.12816244008480104, -0.25725914922896786}","{0.08263057450630718, -0.19823101708662325}"
"{0.40734244027135325, -0.2820577027269809}","{0.35184137799548426, -0.23228555258047878}"
"{-0.03682974836306689, 0.2030235413912736}","{-0.1113799508957249, 0.20253172194695002}"
"{-0.2793180858582352, 0.510756703660015}","{-0.2194939773075796, 0.46627757851317725}"
"{0.5614516286924233, 0.10424093425070156}","{0.4906103680730055, 0.08101710218718522}"
"{-0.43854837130757673, 0.10424093425070156}","{-0.47537284760576315, 0.16906222427459794}"
"{-0.07452769065027222, 0.26733715584118584}","{-0.14907597694512303, 0.2668487802389056}"
"{-0.07452769065027222, 0.26733715584118584}","{-0.1113799508957249, 0.20253172194695002}"
"{-0.07452769065027222, 0.26733715584118584}","{-0.03682974836306689, 0.2030235413912736}"
"{0.5076066315438097, -0.4259480329524123}","{0.4336564124059279, -0.4353671856312296}"
"{0.10206904191370245, -0.38190075174277166}","{0.02976272354612149, -0.4000578119961974}"
"{-0.40569848781591406, -0.1325614965037754}","{-0.33502409722660514, -0.15628054902511818}"
"{-0.19545210637160348, 0.32521437190238767}","{-0.14907597694512303, 0.2668487802389056}"
"{0.2898866857481498, 0.42639574283531273}","{0.2539402343213364, 0.36108456960274504}"
"{0.2898866857481498, 0.42639574283531273}","{0.355446794960959, 0.46188802035131554}"
"{-0.11487538629080292, -0.3652093516613743}","{-0.04370659014221451, -0.3874058923371285}"
"{-0.11487538629080292, -0.3652093516613743}","{-0.18831796862272288, -0.378010143471796}"
"{0.11371693293057843, -0.01090298012881318}","{0.06525800880418013, -0.06755482722912959}"
"{-0.4691200263507963, -0.09337984115049852}","{-0.40569848781591406, -0.1325614965037754}"
"{0.3648923467135584, 0.5358360206112893}","{0.4242115410653451, 0.4906833629454402}"
"{0.3648923467135584, 0.5358360206112893}","{0.355446794960959, 0.46188802035131554}"
"{0.3648923467135584, -0.46416397938871073}","{0.2961256919615032, -0.49295747692274616}"
"{0.3648923467135584, -0.46416397938871073}","{0.4336564124059279, -0.4353671856312296}"
"{0.3648923467135584, -0.46416397938871073}","{0.3743370601618512, -0.39021474768470915}"
"{0.4981617062627901, 0.5001047321934129}","{0.4242115410653451, 0.4906833629454402}"
"{-0.5018382937372099, 0.5001047321934129}","{-0.45867300126417215, 0.4393234982073197}"
"{0.4981617062627901, -0.49989526780658705}","{0.5076066315438097, -0.4259480329524123}"
"{0.05501116062924285, 0.3212122229534115}","{0.07199837787306161, 0.2486241091484556}"
"{-0.3689748806854895, -0.22265087523899785}","{-0.2945250659699057, -0.218869110604399}"
"{-0.3689748806854895, -0.22265087523899785}","{-0.33502409722660514, -0.15628054902511818}"
